name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc,name_detail,leader_detail,apr_detail,followers_detail,leader_fraction,leader_commission,max_distributable,max_withdrawable,allow_deposits,always_close_on_withdraw,is_closed_detail,description_len,av_day_last,av_day_obs,av_week_last,av_week_obs,av_month_last,av_month_obs,av_all_time_last,av_all_time_obs,withdrawable_ratio,score_commission,score_withdrawable,score_av_depth,extended_score,extended_rank,cluster_id,cluster_name
Shorting,0xf0286a17a720c260c53119757166a4358ab3e422,0xf3cac0bde469b42a349ed0ce994a90e7c4a2c606,17756.658618,0.0,,2024-06-29T01:58:11.960000+00:00,False,False,0.0,0.0,0.0,208691.928618,-0.0066269999952055,62607.58079440003,49,0.4969565217391304,0.0192391304347826,0.0,0.0041304347826086,0.2538043478260869,0.9852173913043478,0.5299456521739131,0.0,0.3022146739130434,97,2026-03-08T03:40:48.086019+00:00,Shorting,0xf3cac0bde469b42a349ed0ce994a90e7c4a2c606,0.0,,0.9999999999999982,0.1,17656.658618,0.0,False,False,False,25,17756.658618,13,17756.658618,65,17756.658618,46,17756.658618,90,0.0,0.5164609053497943,0.5020746887966805,0.037037037037037,0.3068268097822375,154,2,Steady Grinder C2
Super Moon,0xbe421ec5af0be9ea2b2a53b38a089ee352c9f325,0x25a5ededa518c9c5ac2d57ae5e0ed5a97973c625,16396.871358,0.3664825104518615,,2025-06-21T18:49:41.263000+00:00,False,False,0.0,4.601869,485.923671,401.441358,-371.074152,197.99177683601457,49,0.0309782608695652,0.0203260869565217,0.0,0.0966304347826087,0.6071739130434782,0.6246739130434783,0.5299456521739131,0.0,0.2329656620553359,163,2026-03-08T03:40:48.086019+00:00,Super Moon,0x25a5ededa518c9c5ac2d57ae5e0ed5a97973c625,0.3664825104518615,,0.0722004933137947,0.1,15011.83927,0.0,True,False,False,21,16396.871358,13,16396.871358,63,16396.871358,46,16396.871358,45,0.0,0.5164609053497943,0.5020746887966805,0.5534979423868313,0.3065361414239362,155,2,Steady Grinder C2
OnFOMO.com,0xac9eac820f3f9d31bd52111e00553a4ab2797994,0xb838e4d1c8bcf71fa8e63299d5aa3258c83d6adb,42008.090908,3.7356847717389567,,2025-06-18T16:08:04.980000+00:00,False,False,244.472643,7751.607115,9972.809431,6594.820908,-12151.408414,5267.018765061414,50,0.0041304347826086,0.0130434782608695,0.0,0.0346739130434782,0.905108695652174,0.9141304347826088,0.2215217391304347,0.0,0.2431867588932806,151,2026-03-08T03:40:48.086019+00:00,OnFOMO.com,0xb838e4d1c8bcf71fa8e63299d5aa3258c83d6adb,3.843265091470948,,0.1248380041411417,0.1,23967.66575,0.0,True,False,False,64,42295.28806,13,42295.28806,63,42295.28806,46,42295.28806,47,0.0,0.5164609053497943,0.5020746887966805,0.4711934156378601,0.3059715113774976,156,1,Steady Grinder C1
Neucap Asymmetry Strategy I,0x632e2c22dd4fb62779871135491eb537e5698672,0x52f4127f039a06be0c66b7304aa72d0f58d18edc,2190.849536,2.1281860187073027,,2025-09-11T08:37:25.795000+00:00,False,False,0.0,-92.156573,417.539468,243.889536,-592.641895,217.61555044609017,51,0.0093478260869565,0.0485869565217391,0.0,0.1113043478260869,0.653695652173913,0.636195652173913,0.0505978260869565,0.0,0.1900852272727272,206,2026-03-08T03:40:48.086019+00:00,Neucap Asymmetry Strategy I,0x52f4127f039a06be0c66b7304aa72d0f58d18edc,2.1281860187073027,,0.6342729757308353,0.1,2033.188712,0.0,True,False,False,191,2190.849536,13,2190.849536,62,2190.849536,44,2190.849536,39,0.0,0.5164609053497943,0.5020746887966805,0.8539094650205762,0.3044169676003542,157,2,Steady Grinder C2
Gen Wealth Algo,0xdda7f4805dfdf145a74cd68992d90780f73cf6c7,0x742052556204359dc1e7d9a13fd87a420809028c,5273.915308,1.2889676792893132,,2026-02-10T16:28:06.173000+00:00,False,False,50.322132,326.680385,514.605308,514.605308,-668.714925,237.95404322446973,49,0.015,0.0335869565217391,0.0,0.0896739130434782,0.665,0.6467391304347826,0.5299456521739131,0.0,0.240356966403162,158,2026-03-08T03:40:48.086019+00:00,Gen Wealth Algo,0x742052556204359dc1e7d9a13fd87a420809028c,1.2954730265547312,,0.7851581060260588,0.1,4858.038796,0.0,True,False,False,153,5276.512492,13,5276.512492,64,5276.512492,42,5276.512492,47,0.0,0.5164609053497943,0.5020746887966805,0.4711934156378601,0.3038491670099087,158,2,Steady Grinder C2
ETHbotic,0x30f14b7169c657a03d0b6c722b969bee04b8f642,0x146d21473dbd19fa18bd1b41aa4712ea2cd8a1de,9531.414171,0.041552746362883,,2025-07-21T21:27:49.121000+00:00,False,False,0.0,1.750917,32.890811,1531.064171,-488.655249,370.052788275078,50,0.0451086956521739,0.0256521739130434,0.0,0.0620652173913043,0.6351086956521739,0.7005434782608696,0.2215217391304347,0.0,0.2050691699604743,188,2026-03-08T03:40:48.086019+00:00,ETHbotic,0x146d21473dbd19fa18bd1b41aa4712ea2cd8a1de,0.041552746362883,,0.0525979697553483,0.1,7630.200104,0.0,True,True,False,171,9531.414171,13,9531.414171,67,9531.414171,47,9531.414171,42,0.0,0.5164609053497943,0.5020746887966805,0.7325102880658436,0.3035150069206913,159,2,Steady Grinder C2
Liberty & Humanism Capital,0x31edd7da5efb03b3ce15ab4edb2a94d680a079e8,0xb8b00a5581f43a35a759d3c7280994ddf1736355,1799.104846,3.1675316508154445,,2025-10-07T00:25:18.894000+00:00,False,False,59.961628,49.477356,375.718454,83.264846,-253.288207,130.4053040942544,51,0.0057608695652173,0.0535869565217391,0.0,0.1390217391304347,0.5731521739130435,0.5741304347826087,0.0505978260869565,0.0,0.1799666501976284,218,2026-03-08T03:40:48.086019+00:00,Liberty & Humanism Capital,0xb8b00a5581f43a35a759d3c7280994ddf1736355,3.2090222202995458,,0.999999999246428,0.1,460.964507,0.0,True,True,False,243,1804.026272,13,1804.026272,66,1804.026272,47,1804.026272,37,0.0,0.5164609053497943,0.5020746887966805,0.897119341563786,0.3011490224483511,160,2,Steady Grinder C2
sexy pairs,0xf2f503be514a09ed4a712be7f8f7a2b6ac91e724,0x4577d927a39ea40c024ad81c0ce15959176346c7,3639.628142,0.8457463835294118,,2026-02-18T15:36:53.789000+00:00,False,False,70.711326,221.647548,239.628142,239.628142,-168.617035,70.58315210823679,48,0.0217391304347826,0.04,0.0,0.1120652173913043,0.5366304347826087,0.5058695652173913,0.8202717391304348,0.0,0.2509696146245059,141,2026-03-08T03:40:48.086019+00:00,sexy pairs,0x4577d927a39ea40c024ad81c0ce15959176346c7,0.8400887682352941,,1.0,0.1,1878.975788,0.0,False,False,False,14,3638.025151,13,3638.025151,65,3638.025151,34,3638.025151,53,0.0,0.5164609053497943,0.5020746887966805,0.3518518518518518,0.2998744967973158,161,2,Steady Grinder C2
Trader Gaul,0x4d0f0bf1172e9e5a6710edf500c920a151555ac2,0x4842dcb1c7d108a91781305d8ea233ceebdba8e3,1324.072867,0.4003765950192754,,2025-05-01T14:32:21.980000+00:00,False,False,0.0,-54.066096,71.177786,724.402867,-28.091327999999976,78.27387155796832,47,0.0302173913043478,0.0578260869565217,0.0,0.078695652173913,0.3790217391304348,0.5159782608695652,0.9652173913043478,0.0,0.2448567193675889,146,2026-03-08T03:40:48.086019+00:00,Trader Gaul,0x4842dcb1c7d108a91781305d8ea233ceebdba8e3,0.4003765950192754,,0.8478216310728028,0.1,1206.123529,0.0,True,False,False,24,1324.072867,13,1324.072867,61,1324.072867,44,1324.072867,50,0.0,0.5164609053497943,0.5020746887966805,0.397119341563786,0.2998165743258214,162,2,Steady Grinder C2
OnDitMerciQui?,0x057236927e2e2c8b3cd595746a051687ba40d1cc,0x671ac0f3cd0f450b12c50c5b0891dbc4dac80d73,1118.160019,1.8615709796292432,,2024-12-11T20:50:12.812000+00:00,False,False,-41.749213,-141.36569,150.165825,71.920019,-2528.7964159999997,716.2488231108671,49,0.0109782608695652,0.0596739130434782,0.0,0.1427173913043478,0.7909782608695652,0.7646739130434783,0.5299456521739131,0.0,0.2847344367588933,109,2026-03-08T03:40:48.086019+00:00,OnDitMerciQui?,0x671ac0f3cd0f450b12c50c5b0891dbc4dac80d73,1.8817777123981383,,0.9952268223330352,0.1,831.175019,0.0,True,False,False,13,1119.790019,13,1119.790019,66,1119.790019,46,1119.790019,72,0.0,0.5164609053497943,0.5020746887966805,0.0967078189300411,0.2996837101059253,163,2,Steady Grinder C2
