name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc,name_detail,leader_detail,apr_detail,followers_detail,leader_fraction,leader_commission,max_distributable,max_withdrawable,allow_deposits,always_close_on_withdraw,is_closed_detail,description_len,av_day_last,av_day_obs,av_week_last,av_week_obs,av_month_last,av_month_obs,av_all_time_last,av_all_time_obs,withdrawable_ratio,score_commission,score_withdrawable,score_av_depth,extended_score,extended_rank
Slow Stable,0x960cebcba55d6d282d9000e355e6ddbad6734cff,0xa135f4d9b714e63d1406aed140c215598b003118,2647.317999,0.2652601943484897,,2026-01-13T11:57:54.283000+00:00,False,False,1.427382,16.441269,59.450069,648.887999,-3.1116230000000087,122.47936468833385,50,0.0257273122014763,0.0452670429874077,0.0,0.0808727746417716,0.3217542336083369,0.5650238818931828,0.2379504993486756,0.0,0.1557676745746654,230,2026-03-11T07:32:53.868260+00:00,Slow Stable,0xa135f4d9b714e63d1406aed140c215598b003118,0.2666755979008595,,0.9999999996872322,0.1,2488.254178,0.0,True,False,False,11.0,2647.635219,13.0,2647.635219,66.0,2647.635219,47.0,2647.635219,45.0,0.0,0.514,0.5020325203252033,0.606,0.2536880323537633,226
Ghost Land,0xed2a42cd8b544d78cf48a10707394337bb60178b,0x164c66a329ffc2cc86972bc4b87a7bbb42a431e7,3267.994472,0.6893516382674424,,2026-02-28T12:43:17.940000+00:00,False,False,-95.205167,169.932663,177.534472,177.534472,-95.31928600000003,64.55583552939608,51,0.016391663048198,0.0420104211897525,0.0,0.1202778983933999,0.4700390794615718,0.4955492835432045,0.0585649153278332,0.0,0.1554555816523901,231,2026-03-11T07:32:53.868260+00:00,Ghost Land,0x164c66a329ffc2cc86972bc4b87a7bbb42a431e7,0.6893516382674424,,0.17509284794833793,0.1,2696.868917,0.0,True,False,False,49.0,3267.994472,13.0,3267.994472,63.0,3267.994472,27.0,3267.994472,45.0,0.0,0.514,0.5020325203252033,0.606,0.25345396266205683,227
High IQ tec,0x71a8314c2a2bbefeaf3171b6100864903110d395,0x417e8accdf7707af31c581d0325382580ad58dbd,1027.83833,1.6803715409836066,,2026-02-16T16:23:45.730000+00:00,False,False,-10.761836,27.198826,128.12833,128.12833,-54.878325,47.48620503831234,51,0.0064046895353886,0.0624185844550586,0.0,0.1298306556665219,0.4142422926617455,0.4602692140686061,0.0585649153278332,0.0,0.148715361386334,236,2026-03-11T07:32:53.868260+00:00,High IQ tec,0x417e8accdf7707af31c581d0325382580ad58dbd,1.6939954622950821,,0.999999999252269,0.1,217.507966,0.0,True,False,False,11.0,1028.877154,13.0,1028.877154,66.0,1028.877154,39.0,1028.877154,44.0,0.0,0.514,0.5020325203252033,0.65,0.25279879746251477,228
Hyperliquid Evergreen,0x595b9ab3c79e0e784b8945e0bbd8195ed84e78fa,0xc774df28c4e5977ee6841c7fdd14287f8c3a45ac,2850.799133,0.0937338567722689,,2026-01-04T15:06:08.972000+00:00,False,False,-0.069991,12.118097,24.480461,58.519133,-4.684132999999999,9.122887293280176,50,0.0336517585757707,0.0440729483282674,0.0,0.1490447242726878,0.3284845853234911,0.2812635692574902,0.2379504993486756,0.0,0.1479394465716654,237,2026-03-11T07:32:53.868260+00:00,Hyperliquid Evergreen,0xc774df28c4e5977ee6841c7fdd14287f8c3a45ac,0.09339129814030578,,0.8943707004851027,0.1,2738.899206,0.0,True,False,False,27.0,2850.709667,13.0,2850.709667,65.0,2850.709667,46.0,2850.709667,44.0,0.0,0.514,0.5020325203252033,0.65,0.25221686135151333,229
Prudentia Asset Management,0x58be3403f05d25f224593717feb69f175973bbb4,0x69e0d05f2e469da10e4192eaf228dfb34d2c5d4a,20071.296584,0.0582145987875212,,2026-02-07T12:03:54.656000+00:00,False,False,65.643142,84.441001,96.900123,96.296584,-141.675887,61.621358872607225,51,0.035497177594442,0.0184541901867129,0.0,0.1367781155015197,0.5186712983065567,0.490447242726878,0.0585649153278332,0.0,0.1648973177278648,224,2026-03-11T07:32:53.868260+00:00,Prudentia Asset Management,0x69e0d05f2e469da10e4192eaf228dfb34d2c5d4a,0.05821459878752128,,1.0,0.1,19971.296584,0.0,True,False,False,161.0,20071.296584,13.0,20071.296584,65.0,20071.296584,46.0,20071.296584,48.0,0.0,0.514,0.5020325203252033,0.488,0.24873526471866286,230
Citadel,0xda51323fe9800c8365646ad5c7ade0dd17fdc167,0x92d3acdf0484a6a8baf6fe3676b23af7cdbdbc98,601568.693334,0.6796658932229913,,2023-11-17T17:59:27.720000+00:00,False,False,-0.7227,2025.08165,32304.449869,277495.163334,-10152.431314,46233.566863937755,52,0.0166087711680416,0.0031480677377333,0.0,0.0029309596178897,0.8966565349544073,0.981545809813287,0.0092813721233174,0.0,0.2176422551612521,184,2026-03-11T07:32:53.868260+00:00,Citadel,0x92d3acdf0484a6a8baf6fe3676b23af7cdbdbc98,0.6796658932229913,,0.22847580634482995,0.1,601131.01023,0.0,True,False,False,67.0,601568.693334,16.0,601568.693334,59.0,601568.693334,45.0,601568.693334,72.0,0.0,0.514,0.5020325203252033,0.092,0.24869396779370329,231
AI ATM,0x4944589914a1ddef29f5f1f2094cfa212a3a3d20,0xaf253ebf2c4fea2858df3cf89e46939a96877e5c,8364.450918,0.7061384140969161,,2026-02-27T16:32:49.293000+00:00,False,False,101.493165,74.598912,464.850918,464.850918,-324.895217,152.84990773644392,53,0.0156317846287451,0.0275727312201476,0.0,0.0929222752930959,0.5957446808510638,0.5950933564915328,0.003365175857577,0.0,0.1660309675127304,222,2026-03-11T07:32:53.868260+00:00,AI ATM,0xaf253ebf2c4fea2858df3cf89e46939a96877e5c,0.712305646361841,,1.0,0.1,295.53564,0.0,True,False,False,38.0,8368.510807,13.0,8368.510807,65.0,8368.510807,28.0,8368.510807,49.0,0.0,0.514,0.5020325203252033,0.468,0.24758550205731206,232
wagmi22,0x85c283314f517a2b3a526385f99591e536dd63eb,0xfde0618dda34c50ac169adaf4658ecd34b51ff5d,2013.977752,0.0,,2024-04-12T06:01:37.211000+00:00,False,False,0.0,0.0,0.0,13.977752,0.0,4.018321171724899,50,0.4912613981762918,0.0511289622231871,0.0,0.1866044290056448,0.0877116804168475,0.2406643508467216,0.2379504993486756,0.0,0.22539770260135,176,2026-03-11T07:32:53.868260+00:00,wagmi22,0xfde0618dda34c50ac169adaf4658ecd34b51ff5d,0.0,,1.0,0.1,1913.977752,0.0,True,False,False,11.0,2013.977752,13.0,2013.977752,67.0,2013.977752,47.0,2013.977752,99.0,0.0,0.514,0.5020325203252033,0.014,0.24671055337377673,233
Magixbox,0x1764dd740aba4195643bbb6a44648e0306b00cfa,0x4f8cc02ec3a1e5670d2f7e2258738729fd36bcd5,13911.258846,4.038806529558816,,2024-01-08T07:36:11.769000+00:00,False,False,854.47378,5103.731383,4109.070956,10434.998846,-12864.120897,4202.654549787061,52,0.0016283108988276,0.0220364741641337,0.0,0.0268128528006947,0.9088145896656536,0.9026270082501086,0.0092813721233174,0.0,0.2180123258200766,183,2026-03-11T07:32:53.868260+00:00,Magixbox,0x4f8cc02ec3a1e5670d2f7e2258738729fd36bcd5,4.234575788302582,,0.8946376083173743,0.1,6494.222856,0.0,True,False,False,52.0,14110.433966,14.0,14110.433966,63.0,14110.433966,46.0,14110.433966,78.0,0.0,0.514,0.5020325203252033,0.068,0.2465715207878217,234
AI Alpha Trend,0xf49a62e5060da5e75a5e98b3dd298a36250bbd87,0xef9e3f4a5feb7b248344f382ea55d71f44432ad1,3732.609643,0.7059517519013617,,2025-01-17T18:02:53.246000+00:00,False,False,0.0,90.661916,207.386457,732.609643,-22.83204699999999,157.8081683037677,49,0.0157403386886669,0.0400564481111593,0.0,0.0785931393834129,0.3731003039513678,0.5979157620495007,0.5427160225792445,0.0,0.196538359057356,203,2026-03-11T07:32:53.868260+00:00,AI Alpha Trend,0xef9e3f4a5feb7b248344f382ea55d71f44432ad1,0.7059517519013617,,1.0,0.1,3632.609643,0.0,True,False,False,102.0,3732.609643,13.0,3732.609643,64.0,3732.609643,45.0,3732.609643,64.0,0.0,0.514,0.5020325203252033,0.21,0.24466604571578124,235
