leader_detail,fill_count,active_day_count,active_span_days,symbol_count,buy_like_count,sell_like_count,close_count,buy_sell_ratio,avg_abs_fill_size,sum_closed_pnl,positive_close_ratio,first_fill_ts,last_fill_ts
0x9220d2abaa05ca8d1d4e407319d61c0d9fbef8f5,1,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.233,0.0,0.0,2025-08-28T12:47:08.430000+00:00,2025-08-28T12:47:08.430000+00:00
0x05ee3f0675211f678531df70de3502469ffb5886,526,24.0,82.0,3.0,311.0,216.0,173.0,1.4377880184331797,33.79236307984791,12320.68106,0.2946768060836502,2025-03-26T20:18:42.574000+00:00,2025-06-15T11:38:00.188000+00:00
0xbd9c944dcfb31cd24c81ebf1c974d950f44e42b8,2000,28.0,79.0,31.0,1390.0,659.0,1214.0,2.1075757575757574,5006.827125484915,24120.310251130002,0.3915,2025-12-16T16:31:08.512000+00:00,2026-03-04T08:27:02.517000+00:00
0xf94df160beb58f3e45b24d4b61d38f3eea20a196,2000,49.0,447.0,18.0,495.0,1501.0,152.0,0.33022636484687085,64979.541485377944,692895.709286,0.429,2024-09-27T00:40:13.514000+00:00,2025-12-17T00:00:00.013000+00:00
0xe42c653ee440b469f0e4bd5635ebfc7939d37a91,2,2.0,2.0,1.0,0.0,2.0,1.0,0.3333333333333333,13.7,-1.692361,0.0,2026-02-24T11:19:16.136000+00:00,2026-02-25T17:50:14.620000+00:00
0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0,,,,,,,,,,,,
0x3b290def8e0b287a2c8ac0ae1ab31642caecc7e7,18,1.0,1.0,2.0,14.0,4.0,6.0,3.0,0.46557444444444457,0.042826999999999976,0.2222222222222222,2025-08-04T11:03:01.942000+00:00,2025-08-04T13:51:44.740000+00:00
0x1e2235fc6b984d9061d90a622b9ca6a4802696c6,2000,22.0,128.0,9.0,1296.0,701.0,957.0,1.8475783475783476,2.2781925761678004,-6216.246152599999,0.1265,2025-10-31T14:53:31.476000+00:00,2026-03-07T03:51:33.024000+00:00
0x2cb9c5a32cc7a3bd09f81d8748fa6999ecde263f,0,,,,,,,,,,,,
0x319df9df408ba99296ee68d3091835aed0b2fdd4,1936,183.0,223.0,19.0,500.0,1436.0,1044.0,0.348643006263048,169.09255047004137,19096.35900445,0.37964876033057854,2025-07-28T13:57:12.666000+00:00,2026-03-07T19:55:43.398000+00:00
0x05420ff3c26c463c4e253bb8d0b92d24a467b4b1,0,,,,,,,,,,,,
0xf3b81a4cae77e820f1b82f46ebd8216b57d1226a,2000,25.0,149.0,9.0,1390.0,610.0,641.0,2.276595744680851,277.086562084375,47801.56098137,0.383,2025-10-10T17:44:04.050000+00:00,2026-03-07T06:47:35.770000+00:00
0x4059ca49c12216df54649fda1484acb99e0e1704,704,44.0,413.0,23.0,495.0,210.0,332.0,2.3507109004739335,1057.7046612258807,-9028.077445,0.17329545454545456,2024-12-21T04:05:17.640000+00:00,2026-02-06T01:50:48.735000+00:00
0xceec9c279d4f79e1b43cb23014e17a8c34e6793a,2000,8.0,122.0,5.0,1859.0,142.0,653.0,13.006993006993007,122.932469,3852.765452,0.254,2025-10-04T05:00:42.031000+00:00,2026-02-02T06:42:23.685000+00:00
0xf820817f93ac09a6bbb68661d91da48cdc8266b2,110,11.0,131.0,11.0,101.0,9.0,24.0,10.2,5341.858636363636,-9313.632344,0.045454545454545456,2025-01-13T20:49:41.919000+00:00,2025-05-23T21:20:44.510000+00:00
0x6c0a53873fcb4202856b012a7d7077f28452cc30,598,42.0,116.0,4.0,210.0,410.0,260.0,0.51338199513382,466.04027598662213,-10.673915000000079,0.3979933110367893,2025-08-22T17:42:48.893000+00:00,2025-12-15T20:31:58.716000+00:00
0x58206237b3fcfcbb4c9b60317cf652a29089f224,653,80.0,250.0,41.0,312.0,336.0,285.0,0.9287833827893175,4601.695253570321,21688.887243570003,0.33996937212863704,2025-06-27T08:09:08.904000+00:00,2026-03-03T16:10:35.984000+00:00
0x8ee071baaff1dc9cf19b140f47853c684d495ed4,177,13.0,70.0,8.0,84.0,93.0,48.0,0.9042553191489362,882.245197740113,503.93387400000006,0.12994350282485875,2025-12-28T06:38:07.731000+00:00,2026-03-07T16:59:15.398000+00:00
0xe6626effae4ff622b2ae03adb4b00aaca5d537f6,0,,,,,,,,,,,,
0x01738bd394579f1ca81acc8f57c49d58262ec8ec,2000,28.0,28.0,95.0,988.0,1012.0,1018.0,0.9763079960513327,2603.1540013000003,514.2171709999999,0.248,2025-12-30T00:16:21.783000+00:00,2026-01-26T08:09:30.392000+00:00
0x146d21473dbd19fa18bd1b41aa4712ea2cd8a1de,6,3.0,12.0,1.0,6.0,0.0,3.0,7.0,0.00011666666666666667,0.22665999999999997,0.5,2025-05-12T18:49:52.058000+00:00,2025-05-23T13:40:29.778000+00:00
0xa14f74d2fff09fa55e0358babf83220ee6df22dd,142,22.0,300.0,11.0,108.0,34.0,70.0,3.1142857142857143,230.57505492957748,546.8479899999999,0.4647887323943662,2024-12-15T08:27:56.661000+00:00,2025-10-10T21:13:39.550000+00:00
0x4fd0ff2c49671d4fe1927371cf833e8b3b7f44ea,585,81.0,501.0,19.0,286.0,299.0,228.0,0.9566666666666667,135014.73216690597,-2707.890821,0.25982905982905985,2024-10-03T12:46:09.867000+00:00,2026-02-15T17:45:24.479000+00:00
0x5dd032fdd7811e98f2d94bd1991f6d730716119e,0,,,,,,,,,,,,
0xdc6e251c82e1f1ae93a219822f7b39b445028cb7,318,8.0,66.0,6.0,254.0,63.0,0.0,3.984375,4922.351251441762,10357.0897871,0.1320754716981132,2025-12-17T06:18:03.798000+00:00,2026-02-20T00:00:00.035000+00:00
0xe5417cbec1d9d3cdbf53e37eaf1b9529900c274b,736,7.0,377.0,31.0,250.0,496.0,414.0,0.5050301810865191,500.8954755434782,-2039.0907670000001,0.1793478260869565,2024-12-22T19:12:57.889000+00:00,2026-01-02T07:34:47.741000+00:00
0x2b0beda149be62676aa8133fc36ea0af8f85e32d,508,19.0,672.0,13.0,456.0,52.0,244.0,8.622641509433961,606061.6760352756,110721.117039,0.3464566929133858,2024-01-03T15:08:34.138000+00:00,2025-11-04T21:36:02.118000+00:00
0xdeba95d8c12173c599cb80671750d37e3dd112d0,116,20.0,226.0,8.0,108.0,8.0,58.0,12.11111111111111,101.05812344827585,-569.02655,0.10344827586206896,2025-07-21T05:40:14.890000+00:00,2026-03-03T08:00:23.229000+00:00
0x11eaed910eefa22056ef5d2aefb0d632cc0f6906,2000,43.0,84.0,9.0,1492.0,511.0,901.0,2.916015625,27461.407840500004,-164221.69922999997,0.2815,2025-11-14T19:19:38.468000+00:00,2026-02-05T10:53:56.701000+00:00
0xf49ec27f278295b94d7c3badaaa954f0af278fe0,340,80.0,588.0,25.0,96.0,240.0,149.0,0.4024896265560166,56.5968153988353,9777.707146230001,0.3558823529411765,2024-07-24T18:27:38.262000+00:00,2026-03-03T17:57:08.643000+00:00
0x4beba892edeff53be0e17820829f8017ca6e3699,1761,67.0,322.0,41.0,655.0,1100.0,891.0,0.5958219800181653,17552.713191925573,768.7075443499998,0.2453151618398637,2025-04-12T05:22:13.007000+00:00,2026-02-27T00:00:00.001000+00:00
0x91cac3875d31b3bb4d4fc64b62544804c6b22538,2000,57.0,157.0,31.0,1274.0,724.0,1091.0,1.7586206896551724,48429.15736137311,4009.909584299994,0.262,2025-09-11T15:10:24.941000+00:00,2026-02-14T04:23:44.188000+00:00
0xe30b1ff9f32de9e64c841b79002d5c1dad990302,8,4.0,323.0,2.0,8.0,0.0,3.0,9.0,24.383279999999996,-4.479258,0.0,2025-04-01T16:27:32.654000+00:00,2026-02-17T15:41:59.147000+00:00
0xd9c2eb244530bc6387b8434417d4e4c5a5d10672,601,203.0,697.0,76.0,303.0,278.0,229.0,1.0896057347670252,359.2345171691504,-1281.33042696,0.32945091514143093,2024-02-14T21:58:24.720000+00:00,2026-01-10T00:00:00.103000+00:00
0xf1c02207947ca2777b7da4bca869f765de1b8634,0,,,,,,,,,,,,
0x2d716aaa439385ca5264c5d254fed93fe1523985,1015,16.0,172.0,25.0,455.0,557.0,373.0,0.8172043010752689,44922.24370456868,-7677.970427329999,0.22660098522167488,2025-08-19T23:09:28.667000+00:00,2026-02-06T00:00:00.083000+00:00
0xaf69b1587b87c78409e5a20c3fd5f1ca386fd350,745,41.0,318.0,5.0,439.0,306.0,257.0,1.4332247557003257,56.9411659328859,-2068.4190660000004,0.2550335570469799,2025-03-19T04:57:04.121000+00:00,2026-01-30T02:16:35.778000+00:00
0xde5e7b7d9d26a44767e2e4a49fcb8447f4553d36,0,,,,,,,,,,,,
0x228ed7bff391e92ba3ddcbcda8db7a0134ef2587,5,3.0,236.0,2.0,5.0,0.0,2.0,6.0,8.726064000000001,-141.42223,0.2,2025-07-14T21:13:31.037000+00:00,2026-03-06T21:06:15.842000+00:00
0x84803dc3df988d5493d9be2ee75e36f0043ee272,542,26.0,404.0,9.0,438.0,104.0,240.0,4.180952380952381,49.14507033210332,6082.679466,0.2177121771217712,2025-01-20T18:07:45.294000+00:00,2026-02-27T23:53:20.107000+00:00
0xa75cdf956d3bf49b7e073ef330394665abd34c16,0,,,,,,,,,,,,
0x57bda7d0232f2e0a372c27eb0389371d0bca52ba,0,,,,,,,,,,,,
0x33ba8d3710b985fe56e4e8324cb57c4a228ba3d9,1412,46.0,200.0,17.0,762.0,667.0,681.0,1.1422155688622755,1177.5363388951841,1227.220386,0.26345609065155806,2025-06-08T13:07:53.615000+00:00,2025-12-24T16:56:38.714000+00:00
0x8f300feb1180c149b88e9a2473fc38e0d2d75db3,2000,33.0,42.0,11.0,406.0,1594.0,916.0,0.25517241379310346,361.665145485,6757.691954999999,0.1565,2025-12-22T05:33:06.579000+00:00,2026-02-01T14:29:41.693000+00:00
0x6bc241d88994c48f8af241b7f36d07dae902eafc,333,98.0,238.0,7.0,331.0,2.0,160.0,110.66666666666667,85.45159327327326,-1378.076003,0.2222222222222222,2025-07-11T20:13:31.617000+00:00,2026-03-05T00:00:29.285000+00:00
0xe2422bca1570e1b1c352164b0b41dae434035f6c,2000,79.0,257.0,21.0,1035.0,965.0,978.0,1.0724637681159421,7438.706249870999,-25059.886474019997,0.2595,2025-06-23T13:44:34.795000+00:00,2026-03-06T18:23:35.164000+00:00
0x6f83ab8890ed38bf38a31010aa9a5e9ca743bfad,1290,49.0,77.0,16.0,710.0,578.0,545.0,1.2279792746113989,24643.71128781212,75888.72228225,0.3302325581395349,2025-12-21T06:41:49.441000+00:00,2026-03-07T23:49:18.835000+00:00
0x70e424703f5e8e7237ccdf04b4908379942b26a5,0,,,,,,,,,,,,
0x8edc709600798d3a8d815c04161c4caaebd309b5,7,3.0,113.0,3.0,6.0,1.0,3.0,3.5,4.034,8.6425482,0.2857142857142857,2025-08-17T16:28:33.218000+00:00,2025-12-07T10:42:06.179000+00:00
0x1dc7af8739c02b757ac9b3ba92ab561de7e3af25,1747,150.0,786.0,94.0,832.0,854.0,544.0,0.9742690058479532,4370.932277958472,16574.85790168,0.27761877504293075,2024-01-03T16:06:41.466000+00:00,2026-02-26T21:09:10.165000+00:00
0xc6a06131c84c0c9d2d4c293c349be0c6d5112893,0,,,,,,,,,,,,
