name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc
gaspedal,0xff9152cce6fbd30988b1aef70df6f086c99e2c55,0x3662a4e56f5f8d357ed3488c29c19e36d2764acf,178439.175663,0.01644052319687978,,2025-01-18T10:06:35.555000+00:00,False,False,1414.672496,19361.803978,244.134975,6425.575663,-112048.941513,39386.09384552993,49,0.04027355623100304,0.005644811115935736,0.0,0.03441163699522362,0.9787234042553191,0.9791576204950065,0.5427160225792445,0.0,0.30227741483440573,88,2026-03-11T07:32:53.868260+00:00
Cash Barracuda,0x3d1a723e27f622a968b31beb53a412ef34e9184a,0xdeba95d8c12173c599cb80671750d37e3dd112d0,1083.607636,0.0,,2025-08-06T11:05:57.139000+00:00,False,False,0.0,0.0,0.0,33.607636,-10.034775000000003,12.266631195861935,49,0.4912613981762918,0.061224489795918366,0.0,0.16673903603994789,0.3463960052105949,0.30058619192357794,0.5427160225792445,0.0,0.29830285595863104,89,2026-03-11T07:32:53.868260+00:00
ArcaneVorki,0xd0fea59999cd64d336185c11dca1742da0438d69,0x6c0a53873fcb4202856b012a7d7077f28452cc30,7377.514456,0.2532034748049871,,2025-09-10T03:05:32.492000+00:00,False,False,0.0,4.197083,191.740111,3006.614456,-2006.328115,1040.459779480802,48,0.0261615284411637,0.02898393399913157,0.0,0.049174989144594006,0.7748588797221017,0.7988493269648285,0.8256079027355623,0.0,0.2951547882208977,90,2026-03-11T07:32:53.868260+00:00
Elsewhere,0x8fc7c0442e582bca195978c5a4fdec2e7c5bb0f7,0xf5d0308ac17a33e666326df43788afaa4100b9eb,539096.920752,0.8210932894986606,,2024-07-05T11:49:11.099000+00:00,False,False,-237.618148,-8018.090473,34683.194463,531695.400752,-1195516.412682,370157.0869195611,49,0.013569257490230134,0.0034737299174989146,0.0,0.0020625271385149805,0.9977203647416414,0.9970690403821103,0.5427160225792445,0.0,0.2926309063277148,91,2026-03-11T07:32:53.868260+00:00
HYPErQuantum4,0xc16e0bf84ea8c2b85457010602cb6fa030bc1fd4,0x146d21473dbd19fa18bd1b41aa4712ea2cd8a1de,6998.314446,0.6132122477777265,,2025-08-18T19:55:23.383000+00:00,False,False,17.850568,128.652609,384.588623,1912.264446,-1725.3337170000002,875.0227001892063,48,0.017368649587494574,0.029743812418584457,0.0,0.057316543638732086,0.7611810681719496,0.7826747720364742,0.8256079027355623,0.0,0.29182661942920307,92,2026-03-11T07:32:53.868260+00:00
shortStragey,0xb4d96c7387a45fa2cb170fa1436a86640ab00eb1,0xf11d3e9114cf851c4e171178bb6436fe2aad1531,36199.469982,0.3307815391374227,,2025-07-29T05:44:18.949000+00:00,False,False,143.116154,1369.119348,1801.329864,7093.859982,-1788.9395919999997,1895.0196994123708,48,0.02399044724272688,0.014329135909683021,0.0,0.03332609639600521,0.7645462440295268,0.8485670864090317,0.8256079027355623,0.0,0.291175295069672,93,2026-03-11T07:32:53.868260+00:00
Degentleman's Fund,0x07cf7beae7cbff5c199bd5ecaa30965c879a6225,0xffcf528abd4205b9c4666ad569a19f2d8b59b243,2383.782167,0.35036852005016994,,2025-05-23T13:20:10.871000+00:00,False,False,3.358863,81.546381,67.625693,209.482167,-850.128565,307.35625197428755,48,0.022904906643508468,0.04743812418584455,0.0,0.11593573599652628,0.691923577941815,0.6791141988710377,0.8256079027355623,0.0,0.2911678936564955,94,2026-03-11T07:32:53.868260+00:00
Orbit Value Strategies,0x115849ce84370f25cadcf0d348510d73837e1aa5,0xf292b42e6167e0d591449ebd67d2e989a3479edf,3007611.561305,0.7920961557891474,,2025-12-15T02:29:12.661000+00:00,False,False,-7505.660903,49037.454853,196314.143473,114656.501305,-156503.605425,55980.662530348025,49,0.01411202778983934,0.0013026487190620929,0.0,0.006730351715154147,0.9831741207121146,0.9843682153712549,0.5427160225792445,0.0,0.29023284845853237,95,2026-03-11T07:32:53.868260+00:00
3xBTC脉冲,0xac02cf3af4094acb8558bb2d84ffd5f3d45c0d17,0xf1c02207947ca2777b7da4bca869f765de1b8634,22048.604566,3.9401578876879895,,2026-01-21T04:47:34.113000+00:00,False,False,589.045331,1418.921186,6007.379729,4782.874566,-2453.705232,1504.1515838515404,48,0.0017368649587494573,0.017477203647416412,0.0,0.039296569691706466,0.7895136778115501,0.8330438558402085,0.8256079027355623,0.0,0.2901119587099831,96,2026-03-11T07:32:53.868260+00:00
HTFV,0x494b62d7dc3b0b221fd6149f4b15374736219c05,0x1e2235fc6b984d9061d90a622b9ca6a4802696c6,105586.449769,0.6942791951333771,,2025-11-19T21:15:34.674000+00:00,False,False,-1427.703393,6181.982333,5774.764698,5586.449769,-28359.822063,10536.332539126692,49,0.01617455492835432,0.008467216673903604,0.0,0.037125488493269646,0.9410551454624403,0.9435518888406427,0.5427160225792445,0.0,0.28962099830260923,97,2026-03-11T07:32:53.868260+00:00
Mahamor,0xc75d9370c9f769b05baae78204a89854db920c1f,0x1f224d73419f2d63022545c127b3a65c31a2cc39,7468.545903,0.12393576046405938,,2023-12-04T14:46:53.150000+00:00,False,False,141.058985,-69.149003,76.346488,10987.345903,-12677.478430000001,7280.290622769238,49,0.031914893617021274,0.028766825879287885,0.0,0.026487190620929222,0.907837603126357,0.9266174554928355,0.5427160225792445,0.0,0.2888635870208819,98,2026-03-11T07:32:53.868260+00:00
Templo Capital 2,0xa04cc046c32dc706c65324ae6352d3d78e0c2013,0x69906b0ed626ca01a4b7c001e5711e5714ccf207,40470.139037,0.610882529894119,,2025-06-12T14:51:54.586000+00:00,False,False,2.001541,-436.956007,4041.523745,125268.549037,-30029.58260899999,25639.063943353158,49,0.017585757707338254,0.013460703430308293,0.0,0.006296135475466783,0.94398610508033,0.9712331741207121,0.5427160225792445,0.0,0.28687260687640626,99,2026-03-11T07:32:53.868260+00:00
Picking Winners,0x1fec994c4dd99e126643698ae6b3253cef5ff3d6,0x2d716aaa439385ca5264c5d254fed93fe1523985,137259.835612,3.168032144601307,,2025-11-19T23:01:11.768000+00:00,False,False,-523.252655,23916.325436,33696.726224,58435.075612,-54066.660153000004,26320.79628184726,49,0.0033651758575770734,0.007164567954841511,0.0,0.010312635692574902,0.9628745115067303,0.9717759444203213,0.5427160225792445,0.0,0.2858906860616587,100,2026-03-11T07:32:53.868260+00:00
